gene_name,sample1,sample2,sample3,sample4,sample5,sample6
CG1662,1702,1383,1699,2097,1816,2203
CG33140,714,662,927,659,823,801
Ugt302C1,1235,694,975,1555,1337,1517
spn-E,214,203,246,214,189,228
CG17650,114,119,167,120,140,135
grnd,388,255,369,384,361,398
CG7556,1169,876,1321,1161,1190,1127
Balat,3,0,7,2,5,6
inaF-B,3072,2478,3574,4683,3788,4212
wrapper,136,64,117,142,101,138
Gr68a,0,0,0,0,0,1
TwdlS,11,2,14,4,2,5
CG43184,0,0,0,1,0,1
P5cr,338,200,315,391,365,415
mex1,529,381,554,459,641,645
bero,4633,3801,3735,5300,4111,5419
NtR,314,190,233,420,324,402
chif,1343,903,1203,1463,1231,1343
CG42747,40,34,35,24,33,31
CG32243,208,205,268,228,201,268
CG5435,555,521,799,326,382,387
ohgt,1232,896,1359,926,978,1087
faf,3591,2330,3103,4166,3365,4058
Mocs1,455,287,386,544,513,575
drongo,5726,4175,5184,5441,4491,4830
CG42557,186,0,747,417,235,591
CG7366,929,825,1315,860,1025,1062
Rlip,683,450,590,584,580,608
MED27,487,453,586,540,563,678
Pstk,429,28,34,130,439,9
CG18754,14,18,17,5,11,12
CG3984,589,345,458,1003,787,1044
CG14455,2,1,2,2,1,8
FBtr0472811_df_nrg,0,0,0,0,0,0
Ets96B,350,308,384,361,363,386
Alp4,3399,2747,3894,2889,2804,2660
CG14770,7,17,11,15,15,9
CG30178,325,302,420,283,311,281
Nipsnap,3217,2098,2719,2901,2409,3196
CG46468,13,6,0,0,0,0
CG7166,172,123,192,156,122,186
CG30158,172,130,168,158,130,153
Acox3,2123,1267,1831,2055,2036,2319
lig,6042,4795,6051,6305,5367,5319
FBtr0304455_df_nrg,0,0,0,0,0,0
CG33128,0,1,0,0,1,1
CG15406,2365,2004,2853,2350,2783,2687
sktl,2053,1522,1971,2499,2016,2410
ND-B14.7,5646,3065,5127,3991,4781,4916
CG30120,0,61,77,0,40,81
ida,170,135,199,158,185,196
CG13460,2,6,15,13,2,10
